leitura,segundo,minuto,intensidadeMinuto
1,549,10,True
0,550,10,True
1,550,10,True
0,550,10,True
0,551,10,True
1,551,10,True
1,551,10,True
0,552,10,True
1,552,10,True
1,552,10,True
0,553,10,True
0,553,10,True
0,553,10,True
0,554,10,True
0,554,10,True
1,554,10,True
1,555,10,True
0,555,10,True
1,555,10,True
1,556,10,True
1,556,10,True
1,556,10,True
1,557,10,True
1,557,10,True
1,557,10,True
0,558,10,True
1,558,10,True
1,558,10,True
0,559,10,True
0,559,10,True
0,559,10,True
1,560,10,True
1,560,10,True
1,560,10,True
1,561,10,True
1,561,10,True
0,561,10,True
1,562,10,True
0,562,10,True
1,562,10,True
0,563,10,True
0,563,10,True
0,563,10,True
0,564,10,True
1,564,10,True
1,564,10,True
0,565,10,True
1,565,10,True
1,565,10,True
0,566,10,True
0,566,10,True
1,566,10,True
0,567,10,True
1,567,10,True
0,567,10,True
0,568,10,True
0,568,10,True
1,568,10,True
1,569,10,True
0,569,10,True
1,569,10,True
0,570,10,True
0,570,10,True
0,570,10,True
0,571,10,True
0,571,10,True
1,571,10,True
0,572,10,True
0,572,10,True
0,572,10,True
0,573,10,True
1,573,10,True
1,573,10,True
1,574,10,True
1,574,10,True
0,574,10,True
1,575,10,True
0,575,10,True
1,575,10,True
1,576,10,True
0,576,10,True
0,576,10,True
0,577,10,True
0,577,10,True
0,577,10,True
1,578,10,True
0,578,10,True
