Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
396,0,133,3,False,Banco do Motorista,Gasolina
397,1,133,3,False,Banco do Motorista,Gasolina
398,0,133,3,False,Banco do Motorista,Gasolina
399,1,134,3,False,Banco do Motorista,Gasolina
400,1,134,3,False,Banco do Motorista,Gasolina
401,1,134,3,False,Banco do Motorista,Gasolina
402,0,135,3,False,Banco do Motorista,Gasolina
403,0,135,3,False,Banco do Motorista,Gasolina
404,1,135,3,False,Banco do Motorista,Gasolina
405,0,136,3,False,Banco do Motorista,Gasolina
406,1,136,3,False,Banco do Motorista,Gasolina
407,0,136,3,False,Banco do Motorista,Gasolina
408,0,137,3,False,Banco do Motorista,Gasolina
409,0,137,3,False,Banco do Motorista,Gasolina
410,0,137,3,False,Banco do Motorista,Gasolina
411,1,138,3,False,Banco do Motorista,Gasolina
412,0,138,3,False,Banco do Motorista,Gasolina
413,0,138,3,False,Banco do Motorista,Gasolina
414,0,139,3,False,Banco do Motorista,Gasolina
415,1,139,3,False,Banco do Motorista,Gasolina
416,0,139,3,False,Banco do Motorista,Gasolina
417,0,140,3,False,Banco do Motorista,Gasolina
418,1,140,3,False,Banco do Motorista,Gasolina
419,1,140,3,False,Banco do Motorista,Gasolina
420,1,141,3,False,Banco do Motorista,Gasolina
421,0,141,3,False,Banco do Motorista,Gasolina
422,0,141,3,False,Banco do Motorista,Gasolina
423,0,142,3,False,Banco do Motorista,Gasolina
424,1,142,3,False,Banco do Motorista,Gasolina
425,1,142,3,False,Banco do Motorista,Gasolina
426,0,143,3,False,Banco do Motorista,Gasolina
427,0,143,3,False,Banco do Motorista,Gasolina
428,1,143,3,False,Banco do Motorista,Gasolina
429,0,144,3,False,Banco do Motorista,Gasolina
430,1,144,3,False,Banco do Motorista,Gasolina
431,1,144,3,False,Banco do Motorista,Gasolina
432,0,145,3,False,Banco do Motorista,Gasolina
433,0,145,3,False,Banco do Motorista,Gasolina
434,0,145,3,False,Banco do Motorista,Gasolina
435,1,146,3,False,Banco do Motorista,Gasolina
436,0,146,3,False,Banco do Motorista,Gasolina
437,0,146,3,False,Banco do Motorista,Gasolina
438,1,147,3,False,Banco do Motorista,Gasolina
439,1,147,3,False,Banco do Motorista,Gasolina
440,0,147,3,False,Banco do Motorista,Gasolina
441,0,148,3,False,Banco do Motorista,Gasolina
442,1,148,3,False,Banco do Motorista,Gasolina
443,1,148,3,False,Banco do Motorista,Gasolina
444,0,149,3,False,Banco do Motorista,Gasolina
445,1,149,3,False,Banco do Motorista,Gasolina
446,1,149,3,False,Banco do Motorista,Gasolina
447,0,150,3,False,Banco do Motorista,Gasolina
448,0,150,3,False,Banco do Motorista,Gasolina
449,0,150,3,False,Banco do Motorista,Gasolina
450,0,151,3,False,Banco do Motorista,Gasolina
451,0,151,3,False,Banco do Motorista,Gasolina
452,1,151,3,False,Banco do Motorista,Gasolina
453,1,152,3,False,Banco do Motorista,Gasolina
454,0,152,3,False,Banco do Motorista,Gasolina
455,0,152,3,False,Banco do Motorista,Gasolina
456,1,153,3,False,Banco do Motorista,Gasolina
457,1,153,3,False,Banco do Motorista,Gasolina
458,0,153,3,False,Banco do Motorista,Gasolina
459,0,154,3,False,Banco do Motorista,Gasolina
460,1,154,3,False,Banco do Motorista,Gasolina
461,1,154,3,False,Banco do Motorista,Gasolina
462,0,155,3,False,Banco do Motorista,Gasolina
463,1,155,3,False,Banco do Motorista,Gasolina
464,0,155,3,False,Banco do Motorista,Gasolina
465,0,156,3,False,Banco do Motorista,Gasolina
466,1,156,3,False,Banco do Motorista,Gasolina
467,1,156,3,False,Banco do Motorista,Gasolina
468,0,157,3,False,Banco do Motorista,Gasolina
469,0,157,3,False,Banco do Motorista,Gasolina
470,1,157,3,False,Banco do Motorista,Gasolina
471,0,158,3,False,Banco do Motorista,Gasolina
472,0,158,3,False,Banco do Motorista,Gasolina
473,1,158,3,False,Banco do Motorista,Gasolina
474,1,159,3,False,Banco do Motorista,Gasolina
475,0,159,3,False,Banco do Motorista,Gasolina
476,0,159,3,False,Banco do Motorista,Gasolina
477,1,160,3,False,Banco do Motorista,Gasolina
478,1,160,3,False,Banco do Motorista,Gasolina
479,0,160,3,False,Banco do Motorista,Gasolina
480,0,161,3,False,Banco do Motorista,Gasolina
481,0,161,3,False,Banco do Motorista,Gasolina
482,0,161,3,False,Banco do Motorista,Gasolina
483,1,162,3,False,Banco do Motorista,Gasolina
484,0,162,3,False,Banco do Motorista,Gasolina
485,0,162,3,False,Banco do Motorista,Gasolina
486,1,163,3,False,Banco do Motorista,Gasolina
487,0,163,3,False,Banco do Motorista,Gasolina
488,0,163,3,False,Banco do Motorista,Gasolina
489,0,164,3,False,Banco do Motorista,Gasolina
490,1,164,3,False,Banco do Motorista,Gasolina
491,1,164,3,False,Banco do Motorista,Gasolina
492,0,165,3,False,Banco do Motorista,Gasolina
493,0,165,3,False,Banco do Motorista,Gasolina
494,1,165,3,False,Banco do Motorista,Gasolina
495,0,166,3,False,Banco do Motorista,Gasolina
496,1,166,3,False,Banco do Motorista,Gasolina
497,0,166,3,False,Banco do Motorista,Gasolina
498,1,167,3,False,Banco do Motorista,Gasolina
499,1,167,3,False,Banco do Motorista,Gasolina
500,0,167,3,False,Banco do Motorista,Gasolina
501,1,168,3,False,Banco do Motorista,Gasolina
502,0,168,3,False,Banco do Motorista,Gasolina
503,1,168,3,False,Banco do Motorista,Gasolina
504,0,169,3,False,Banco do Motorista,Gasolina
505,1,169,3,False,Banco do Motorista,Gasolina
506,1,169,3,False,Banco do Motorista,Gasolina
507,0,170,3,False,Banco do Motorista,Gasolina
508,0,170,3,False,Banco do Motorista,Gasolina
509,1,170,3,False,Banco do Motorista,Gasolina
510,1,171,3,False,Banco do Motorista,Gasolina
511,1,171,3,False,Banco do Motorista,Gasolina
512,0,171,3,False,Banco do Motorista,Gasolina
513,0,172,3,False,Banco do Motorista,Gasolina
514,1,172,3,False,Banco do Motorista,Gasolina
515,1,172,3,False,Banco do Motorista,Gasolina
516,0,173,3,False,Banco do Motorista,Gasolina
517,0,173,3,False,Banco do Motorista,Gasolina
518,0,173,3,False,Banco do Motorista,Gasolina
519,0,174,3,False,Banco do Motorista,Gasolina
520,0,174,3,False,Banco do Motorista,Gasolina
521,0,174,3,False,Banco do Motorista,Gasolina
522,0,175,3,False,Banco do Motorista,Gasolina
523,1,175,3,False,Banco do Motorista,Gasolina
524,1,175,3,False,Banco do Motorista,Gasolina
525,0,176,3,False,Banco do Motorista,Gasolina
526,1,176,3,False,Banco do Motorista,Gasolina
527,1,176,3,False,Banco do Motorista,Gasolina
528,0,177,3,False,Banco do Motorista,Gasolina
529,1,177,3,False,Banco do Motorista,Gasolina
530,1,177,3,False,Banco do Motorista,Gasolina
531,0,178,3,False,Banco do Motorista,Gasolina
532,0,178,3,False,Banco do Motorista,Gasolina
533,1,178,3,False,Banco do Motorista,Gasolina
534,1,179,3,False,Banco do Motorista,Gasolina
535,0,179,3,False,Banco do Motorista,Gasolina
536,0,179,3,False,Banco do Motorista,Gasolina
537,0,180,3,False,Banco do Motorista,Gasolina
538,1,180,3,False,Banco do Motorista,Gasolina
539,0,180,3,False,Banco do Motorista,Gasolina
540,1,181,4,True,Banco do Motorista,Gasolina
541,1,181,4,True,Banco do Motorista,Gasolina
542,0,181,4,True,Banco do Motorista,Gasolina
543,0,182,4,True,Banco do Motorista,Gasolina
544,1,182,4,True,Banco do Motorista,Gasolina
545,0,182,4,True,Banco do Motorista,Gasolina
546,0,183,4,True,Banco do Motorista,Gasolina
547,0,183,4,True,Banco do Motorista,Gasolina
548,1,183,4,True,Banco do Motorista,Gasolina
549,1,184,4,True,Banco do Motorista,Gasolina
550,0,184,4,True,Banco do Motorista,Gasolina
551,0,184,4,True,Banco do Motorista,Gasolina
